indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
69,0;253,0;39,28980526918672;-0,02561356155204011;45,77003634185287;235,0;284,0;1,0;230,0;283,0;4,0
71,0;253,0;39,28980526918672;-0,03926506031921966;49,22386552994929;242,0;291,0;1,0;235,0;283,0;3,0
74,0;258,0;43,53658536585366;0,23524678465269636;-17,157085074541996;257,0;306,0;1,0;225,0;246,0;4,0
75,0;258,0;43,53658536585366;0,23524678465269636;-17,157085074541996;258,0;307,0;1,0;225,0;246,0;4,0
76,0;307,0;34,10442506643996;-0,6713154251956635;240,19826060150865;267,0;316,0;1,0;275,0;307,0;3,0
78,0;307,0;34,10442506643996;-0,6713154251956635;240,19826060150865;275,0;324,0;1,0;275,0;317,0;3,0
80,0;307,0;34,10442506643996;-0,7227661149613661;255,99362235957938;282,0;331,0;1,0;275,0;317,0;3,0
81,0;307,0;34,10442506643996;0,12973351674683187;-5,723764574837425;283,0;332,0;1,0;307,0;332,0;3,0
82,0;307,0;34,10442506643996;-0,7227661149613661;255,99362235957938;283,0;332,0;1,0;275,0;332,0;3,0
83,0;307,0;34,10442506643996;0,12973351674683187;-5,723764574837425;292,0;341,0;1,0;307,0;332,0;3,0
85,0;307,0;34,10442506643996;0,12973351674683187;-5,723764574837425;295,0;344,0;1,0;307,0;332,0;3,0
86,0;345,0;39,63695567043862;0,15125697987608358;-12,546702386810217;307,0;356,0;1,0;307,0;345,0;4,0
87,0;345,0;39,63695567043862;0,15125697987608358;-12,546702386810217;310,0;359,0;1,0;307,0;345,0;4,0
88,0;360,0;33,99653487296935;-0,03267965955671926;45,761212313388285;317,0;366,0;1,0;73,0;360,0;10,0
94,0;360,0;33,99653487296935;0,020931134527274936;26,461326443150373;341,0;390,0;1,0;307,0;385,0;3,0
96,0;360,0;33,99653487296935;-0,028375811212759845;44,211826909562895;345,0;394,0;1,0;49,0;391,0;12,0
98,0;360,0;33,99653487296935;-0,028375811212759845;44,211826909562895;360,0;409,0;1,0;49,0;391,0;12,0
99,0;391,0;33,116884725373794;-0,14326223091303653;89,13241701237108;367,0;416,0;1,0;385,0;410,0;3,0
100,0;391,0;33,116884725373794;-0,23382141846290475;124,54105934436954;367,0;416,0;1,0;371,0;410,0;4,0
101,0;391,0;33,116884725373794;-0,14326223091303653;89,13241701237108;371,0;420,0;1,0;385,0;417,0;3,0
102,0;391,0;33,116884725373794;-0,23382141846290475;124,54105934436954;371,0;420,0;1,0;371,0;417,0;4,0
103,0;391,0;33,116884725373794;-0,14326223091303653;89,13241701237108;383,0;432,0;1,0;385,0;417,0;3,0
104,0;391,0;33,116884725373794;-0,23382141846290475;124,54105934436954;383,0;432,0;1,0;371,0;417,0;4,0
105,0;385,0;34,51981323615122;-0,23382141846290475;124,54105934436954;385,0;434,0;1,0;371,0;417,0;4,0
106,0;391,0;33,116884725373794;-0,45414807728584555;210,6887829441394;391,0;440,0;1,0;385,0;433,0;3,0
118,0;453,0;20,101437759646203;0,7526708750665636;-320,8584686455071;453,0;502,0;1,0;453,0;494,0;3,0
119,0;486,0;50,17605754998521;-0,30826799960636464;199,99430535867845;469,0;518,0;1,0;480,0;494,0;3,0
120,0;486,0;50,17605754998521;-0,5356287649482544;310,49163731483685;469,0;518,0;1,0;480,0;494,0;3,0
121,0;486,0;50,17605754998521;-0,30826799960636464;199,99430535867845;476,0;525,0;1,0;480,0;519,0;4,0
122,0;486,0;50,17605754998521;-0,5356287649482544;310,49163731483685;476,0;525,0;1,0;480,0;519,0;3,0
123,0;486,0;50,17605754998521;-0,384765350933497;237,17201810366475;480,0;529,0;1,0;480,0;526,0;4,0
124,0;486,0;50,17605754998521;-0,5356287649482544;310,49163731483685;480,0;529,0;1,0;480,0;526,0;3,0
125,0;486,0;50,17605754998521;-0,384765350933497;237,17201810366475;486,0;535,0;1,0;480,0;526,0;4,0
126,0;490,0;48,94298555155975;-0,3932650566365117;241,64286330345047;488,0;537,0;1,0;480,0;526,0;4,0
127,0;490,0;48,94298555155975;-0,3932650566365117;241,64286330345047;490,0;539,0;1,0;480,0;526,0;4,0
132,0;538,0;12,404920668429043;1,3761260051455437;-727,9508700998736;519,0;568,0;1,0;538,0;562,0;3,0
134,0;538,0;12,404920668429043;1,3761260051455437;-727,9508700998736;526,0;575,0;1,0;538,0;562,0;3,0
136,0;538,0;12,404920668429043;1,3761260051455437;-727,9508700998736;531,0;580,0;1,0;538,0;562,0;3,0
141,0;550,0;30,392158671906756;0,11154656356058368;-30,958451286414267;550,0;599,0;1,0;550,0;599,0;3,0
142,0;562,0;45,43194479192209;-0,3166167913546767;223,3705815332504;558,0;607,0;1,0;562,0;599,0;3,0
143,0;562,0;45,43194479192209;-0,32369719204805536;227,34976672292922;562,0;611,0;1,0;562,0;608,0;4,0
144,0;589,0;37,246964422496426;-0,3893513907847975;266,57493359474216;569,0;618,0;1,0;589,0;608,0;3,0
146,0;594,0;35,30020746857244;-0,3398809650614924;237,18950071509892;576,0;625,0;1,0;562,0;619,0;4,0
147,0;594,0;35,30020746857244;-0,3893513907847975;266,57493359474216;576,0;625,0;1,0;589,0;619,0;3,0
149,0;608,0;30,541873957711545;-0,3398809650614924;237,18950071509892;581,0;630,0;1,0;562,0;626,0;4,0
151,0;608,0;30,541873957711545;-0,3398809650614924;237,18950071509892;586,0;635,0;1,0;562,0;626,0;4,0
153,0;608,0;30,541873957711545;-0,3398809650614924;237,18950071509892;589,0;638,0;1,0;562,0;636,0;4,0
160,0;619,0;29,99026639408484;0,09878601000809611;-31,15827380092665;608,0;657,0;1,0;608,0;650,0;4,0
162,0;658,0;27,247957314892517;-0,0703156174151878;73,51563357408608;619,0;668,0;1,0;608,0;658,0;3,0
163,0;658,0;27,247957314892517;-0,2683734902700572;203,83771391259015;626,0;675,0;1,0;626,0;658,0;3,0
164,0;658,0;27,247957314892517;-0,2683734902700572;203,83771391259015;633,0;682,0;1,0;626,0;658,0;3,0
166,0;658,0;27,247957314892517;-0,2683734902700572;203,83771391259015;636,0;685,0;1,0;626,0;683,0;3,0
173,0;699,0;29,98171946437202;0,10386872441526833;-42,62251890190055;673,0;722,0;1,0;538,0;709,0;4,0
175,0;699,0;29,98171946437202;0,10386872441526833;-42,62251890190055;683,0;732,0;1,0;538,0;723,0;4,0
178,0;709,0;31,020406708524703;0,10386872441526833;-42,62251890190055;686,0;735,0;1,0;538,0;723,0;4,0
181,0;749,0;55,18945693475348;0,6433814635902204;-426,7032592943216;706,0;755,0;1,0;709,0;749,0;3,0
183,0;749,0;55,18945693475348;0,6433814635902204;-426,7032592943216;709,0;758,0;1,0;709,0;756,0;3,0
184,0;723,0;38,46153888140775;0,6433814635902204;-426,7032592943216;718,0;767,0;1,0;709,0;756,0;3,0
187,0;778,0;42,34234346467633;-0,4430039127612809;386,99938759295287;736,0;785,0;1,0;736,0;778,0;3,0
188,0;778,0;42,34234346467633;-0,4430039127612809;386,99938759295287;738,0;787,0;1,0;736,0;778,0;3,0
189,0;749,0;55,18945693475348;-0,4430039127612809;386,99938759295287;749,0;798,0;1,0;736,0;788,0;3,0
200,0;805,0;45,67627755848443;0,947572189761023;-717,1193351991391;788,0;837,0;1,0;799,0;821,0;3,0
202,0;805,0;45,67627755848443;0,947572189761023;-717,1193351991391;789,0;838,0;1,0;799,0;821,0;3,0
204,0;805,0;45,67627755848443;0,8042563739582119;-601,7501034778761;793,0;842,0;1,0;799,0;839,0;3,0
206,0;799,0;41,38576809125768;0,715084911204458;-529,9670759611043;799,0;848,0;1,0;799,0;843,0;3,0
207,0;805,0;45,67627755848443;0,7385309116824503;-548,8411063458881;802,0;851,0;1,0;799,0;843,0;3,0
208,0;805,0;45,67627755848443;0,48393137082475574;-343,88847595544394;805,0;854,0;1,0;799,0;852,0;3,0
216,0;870,0;47,67836978914939;-0,41323841123027377;407,19578755948754;843,0;892,0;1,0;870,0;889,0;3,0
218,0;870,0;47,67836978914939;-0,41323841123027377;407,19578755948754;850,0;899,0;1,0;870,0;889,0;3,0
220,0;870,0;47,67836978914939;-0,41323841123027377;407,19578755948754;852,0;901,0;1,0;870,0;889,0;3,0
222,0;870,0;47,67836978914939;-0,4992315829461122;482,00984695226697;858,0;907,0;1,0;870,0;900,0;4,0
224,0;900,0;32,701422300766026;-0,4992315829461122;482,00984695226697;864,0;913,0;1,0;870,0;908,0;4,0
226,0;900,0;32,701422300766026;-0,4992315829461122;482,00984695226697;870,0;919,0;1,0;870,0;914,0;4,0
228,0;900,0;32,701422300766026;-0,5465128088456348;524,5629502618374;875,0;924,0;1,0;870,0;914,0;4,0
230,0;900,0;32,701422300766026;-0,5465128088456348;524,5629502618374;876,0;925,0;1,0;870,0;925,0;4,0
235,0;914,0;38,67276945301339;1,0832238313823515;-951,3938124304558;889,0;938,0;1,0;914,0;935,0;3,0
237,0;914,0;38,67276945301339;1,0832238313823515;-951,3938124304558;891,0;940,0;1,0;914,0;935,0;3,0
245,0;914,0;38,67276945301339;0,4174882487462676;-342,91148990107524;914,0;963,0;1,0;900,0;958,0;3,0
247,0;925,0;50,58823159821925;0,195576387867573;-130,3199271792858;925,0;974,0;1,0;925,0;968,0;3,0
248,0;958,0;57,04225239784916;0,20419453057954015;-138,5761078973503;927,0;976,0;1,0;925,0;968,0;3,0
250,0;977,0;51,63806226154886;-0,235723619561283;281,94003857292233;935,0;984,0;1,0;935,0;977,0;3,0
251,0;977,0;51,63806226154886;-0,284431059805279;329,52720769130644;938,0;987,0;1,0;941,0;977,0;3,0
252,0;958,0;57,04225239784916;-0,284431059805279;329,52720769130644;941,0;990,0;1,0;941,0;988,0;4,0
253,0;958,0;57,04225239784916;-0,34240104179718395;385,06245043955136;941,0;990,0;1,0;941,0;988,0;5,0
254,0;958,0;57,04225239784916;-0,284431059805279;329,52720769130644;947,0;996,0;1,0;941,0;988,0;4,0
256,0;958,0;57,04225239784916;-0,284431059805279;329,52720769130644;949,0;998,0;1,0;941,0;988,0;4,0
257,0;988,0;48,51190666256246;-0,014916059340191235;63,2489732906714;958,0;1007,0;1,0;925,0;999,0;3,0
258,0;988,0;48,51190666256246;-0,2841959635442182;329,2975186442501;958,0;1007,0;1,0;941,0;999,0;4,0
259,0;999,0;48,347830009820356;-0,014916059340191235;63,2489732906714;964,0;1013,0;1,0;925,0;999,0;3,0
261,0;999,0;48,347830009820356;-0,014916059340191235;63,2489732906714;968,0;1017,0;1,0;925,0;1014,0;3,0
263,0;999,0;48,347830009820356;-0,014916059340191235;63,2489732906714;977,0;1026,0;1,0;925,0;1014,0;3,0
265,0;999,0;48,347830009820356;-0,014916059340191235;63,2489732906714;988,0;1037,0;1,0;925,0;1027,0;3,0
267,0;999,0;48,347830009820356;-0,20352366116680204;251,6679675154556;999,0;1048,0;1,0;935,0;977,0;3,0
268,0;1045,0;38,98574159614746;-0,828045806756015;904,2936096561832;1001,0;1050,0;1,0;1014,0;1045,0;3,0
272,0;1051,0;28,27142079985653;0,7558509035709584;-766,1278788532207;1027,0;1076,0;1,0;1051,0;1071,0;3,0
274,0;1051,0;28,27142079985653;0,7558509035709584;-766,1278788532207;1028,0;1077,0;1,0;1051,0;1071,0;3,0
283,0;1078,0;36,3228768110852;0,29820207448995084;-285,1389594890818;1051,0;1100,0;1,0;1051,0;1099,0;3,0
284,0;1078,0;36,3228768110852;0,33993617501849505;-330,1283198588524;1059,0;1108,0;1,0;1051,0;1099,0;3,0
285,0;1078,0;36,3228768110852;-0,1438461634326451;191,38904099147663;1059,0;1108,0;1,0;977,0;1027,0;3,0
