;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;;
128;28;4;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;14,07466181;1,486126882;-8,59466261;27;;;
129;28;4;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;13,52850206;0,9810706;-16,16458905;24;;;
130;28;4;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;11,63940931;1,144434668;-13,10924062;27;;;
131;28;4;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;9,397278641;0,660581667;-22,86578931;23;;;
132;28;4;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;9,365042504;0,886384298;-11,22253955;30;;;
133;28;4;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;4,944178301;0,355503853;-25,45583825;27;;;
134;28;4;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;6,384006489;0,502228726;-14,47429105;27;;;
135;28;4;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;2,684153907;0,174775164;-29,65996242;25;;;
136;28;5;50;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;12,2346359;1,2983797;-8,909244397;24;;;
137;28;5;50;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;9,827489314;0,688096566;-18,27355823;22;;;
138;28;5;50;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;9,625845755;0,985099271;-16,15949561;23;;;
139;28;5;50;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;7,087114597;0,49232043;-19,58352248;20;;;
140;28;5;100;2;3;3;6;0,02;0,05;AAPL;in_sample_2_1x;11,36867862;1,19198117;-6,621868688;21;;;
141;28;5;100;2;3;3;6;0,02;0,1;AAPL;in_sample_2_1x;10,00966254;0,752659338;-15,67279417;18;;;
142;28;5;100;2;3;3;6;0,05;0,05;AAPL;in_sample_2_1x;11,59601705;1,050879944;-13,54675317;20;;;
143;28;5;100;2;3;3;6;0,05;0,1;AAPL;in_sample_2_1x;9,239602898;0,653808504;-22,8168466;17;;;
144;21;3;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;5,017704735;0,530934874;-16,55612169;37;;;
145;21;3;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;4,784450653;0,314205359;-32,9073577;33;;;
146;21;3;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;5,810297637;0,506811471;-25,99379968;36;;;
147;21;3;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;4,839614308;0,281873402;-37,75542386;30;;;
148;21;3;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;15,1354383;1,300295279;-13,24319481;37;;;
149;21;3;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;12,99498688;0,778578912;-21,98391314;32;;;
150;21;3;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;15,41723557;1,162240077;-21,74136012;36;;;
151;21;3;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;10,38116365;0,576773131;-25,0935388;30;;;
152;21;4;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;4,775587861;0,596833697;-10,71982884;25;;;
153;21;4;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;1,422685147;0,112094299;-23,22607969;23;;;
154;21;4;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;3,315893378;0,350159268;-21,63735765;25;;;
155;21;4;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;-1,138942231;-0,081743784;-37,89513956;21;;;
156;21;4;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;12,84428893;1,301986642;-10,38853424;29;;;
157;21;4;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;9,623609057;0,647529215;-21,98391058;27;;;
158;21;4;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;11,06027054;0,999982035;-17,61285734;29;;;
159;21;4;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;6,639994342;0,413968933;-27,27902155;26;;;
160;21;5;50;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;4,441805692;0,732549119;-14,45203101;15;;;
161;21;5;50;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;2,430315121;0,229912104;-17,07029619;14;;;
162;21;5;50;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;2,254257076;0,3505594;-26,52476464;15;;;
163;21;5;50;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;-0,805934923;-0,073584077;-31,82290958;13;;;
164;21;5;100;2;3;4;6;0,02;0,05;AAPL;in_sample_2_1x;9,624031527;1,0554394;-15,54346823;23;;;
165;21;5;100;2;3;4;6;0,02;0,1;AAPL;in_sample_2_1x;8,853219345;0,630602479;-23,79249376;21;;;
166;21;5;100;2;3;4;6;0,05;0,05;AAPL;in_sample_2_1x;9,898811885;0,909679202;-17,63926119;22;;;
167;21;5;100;2;3;4;6;0,05;0,1;AAPL;in_sample_2_1x;6,834146406;0,444259497;-30,57670319;20;;;
