Date;Open;High;Low;Close;Adj Close;Volume
2001-06-18;29,225000381469727;29,739999771118164;28,860000610351562;29,6200008392334;16,581533432006836;9121400
2001-06-19;29,899999618530273;29,989999771118164;29,364999771118164;29,860000610351562;16,715877532958984;11606600
2001-06-20;29,649999618530273;30,575000762939453;29,649999618530273;30,06999969482422;16,833444595336914;16970200
2001-06-21;30,100000381469727;30,7450008392334;30,094999313354492;30,690000534057617;17,180522918701172;17187800
2001-06-22;30,815000534057617;31,09000015258789;30,459999084472656;30,969999313354492;17,33727264404297;14944000
2001-06-25;30,969999313354492;31,0;30,389999389648438;30,600000381469727;17,13014793395996;9602200
2001-06-26;30,100000381469727;30,350000381469727;29,81999969482422;30,200000762939453;16,90622329711914;11698600
2001-06-27;30,225000381469727;30,575000762939453;30,03499984741211;30,15999984741211;16,883825302124023;10013400
2001-06-28;30,149999618530273;30,610000610351562;29,950000762939453;29,989999771118164;16,788660049438477;10041400
2001-06-29;30,024999618530273;30,100000381469727;29,524999618530273;30,014999389648438;16,80265235900879;13302000
2001-07-02;30,014999389648438;30,31999969482422;29,850000381469727;30,25;16,934213638305664;7821200
2001-07-03;30,174999237060547;30,25;29,920000076293945;30,2450008392334;16,931411743164062;4774400
2001-07-05;30,125;30,350000381469727;30,049999237060547;30,139999389648438;16,87262535095215;4312400
2001-07-06;30,145000457763672;30,145000457763672;29,0;29,18000030517578;16,33521842956543;8881800
2001-07-09;29,225000381469727;29,545000076293945;29,125;29,459999084472656;16,491962432861328;6830200
2001-07-10;29,424999237060547;29,424999237060547;28,424999237060547;28,489999771118164;15,948948860168457;11411200
2001-07-11;28,2549991607666;28,704999923706055;27,594999313354492;28,674999237060547;16,052505493164062;13696200
2001-07-12;28,924999237060547;29,790000915527344;28,774999618530273;29,71500015258789;16,63471031188965;11812200
2001-07-13;29,71500015258789;30,2549991607666;29,545000076293945;30,125;16,86423683166504;9301600
2001-07-16;30,75;31,2450008392334;30,625;30,690000534057617;17,180522918701172;19454800
2001-07-17;31,0;32,165000915527344;30,915000915527344;31,850000381469727;17,82990264892578;23559800
