;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;min_return_ann;min_sharpe_ratio;min_max_drawdown;min_trades;max_return_ann;max_sharpe_ratio;max_max_drawdown;max_trades;Pontos_return_ann;Pontos_sharpe_ratio;Pontos_max_drawdown;Pontos_trades;Pontos_ponderados
115;35;1;50;2;2;3;6;0,03;0,06;K;out_of_sample_val_2;32,42771389992684;1,4415955946305092;-8,645675642663953;34,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;8,751843036726292;8,017740239612973;5,8142256090881865;4,166666666666667;7,467414552165667
8;35;1;50;2;2;3;6;0,03;0,07;K;in_sample_1_2x;10,12582916866549;0,497682855072187;-18,739048514631452;98,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;3,9045995569839933;3,8767166295944295;2,2321937968842795;3,953488372093023;3,6647020141597344
35;35;1;50;2;2;3;6;0,03;0,07;K;in_sample_2_2x;5,7984590923078505;0,3795910497980118;-29,271471912555235;82,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;7,174219033046301;7,035715517301512;7,057016301131591;3,953488372093023;6,657798972423791
62;35;1;50;2;2;3;6;0,03;0,07;K;in_sample_3_2x;23,992721790423932;1,1290463042861165;-11,057647853499276;48,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;7,053393708253502;6,918799435106676;7,870595317855974;3,103448275862069;6,567403369813128
89;35;1;50;2;2;3;6;0,03;0,07;K;out_of_sample_val_1;-3,8085783631246373;-0,4549314836084073;-8,736907410856109;16,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;7,591741779531375;8,059060481443698;7,925636206120173;6,0;7,545568929657385
116;35;1;50;2;2;3;6;0,03;0,07;K;out_of_sample_val_2;29,822600915447527;1,2651595088201268;-8,819753932197427;30,0;18,767249287916243;1,053358794686172;-10,93116985206376;29,0;34,375921146730136;1,5375810173346298;-7,000303795150931;41,0;7,08282660275708;4,374039526222257;5,371375898583959;0,8333333333333334;5,171609727519006
9;35;1;60;2;2;3;6;0,01;0,05;K;in_sample_1_2x;12,595618267789966;0,6611824893400281;-14,635205399637819;117,0;5,889754922973545;0,294391236305536;-20,648597340722453;81,0;16,73868881202001;0,8187824626715414;-12,094013824020767;124,0;6,181126563585147;6,994610790427023;7,029438580316957;8,372093023255815;6,84773326788318
36;35;1;60;2;2;3;6;0,01;0,05;K;in_sample_2_2x;-2,5530216045214993;-0,20514599470478667;-36,91640464436606;98,0;-2,5530216045214993;-0,20514599470478667;-42,09601594745192;65,0;9,087939813523139;0,6259521971775782;-23,923259236035122;108,0;0,0;0,0;2,8502067052005566;7,674418604651163;1,5035179014073885
63;35;1;60;2;2;3;6;0,01;0,05;K;in_sample_3_2x;20,433988464110662;1,1033704724578464;-11,208328349628482;66,0;9,378908461238765;0,5931216227048988;-18,779126719124374;39,0;30,09774812006125;1,3677136405944226;-8,96858691394925;68,0;5,33576212998223;6,587323881069504;7,717004894574961;9,310344827586206;6,6013262677495534
90;35;1;60;2;2;3;6;0,01;0,05;K;out_of_sample_val_1;-4,347859294492984;-0,5787548251015395;-9,126596737522696;14,0;-7,727656885823597;-1,0340190126552453;-13,481297281513239;13,0;-2,5653652319300724;-0,31546437420798507;-7,495166014229593;18,0;6,547087646203578;6,335832561564081;7,274649267700731;2,0;5,941082475634232
