,indice,indice_original_upper_pivot,valor_rsi,resist_slope,resist_intercept,inicio_janela,fim_janela
105,234.0,601.0,78.86464160359395,-0.14214698072919435,164.29497702183977,572.0,711.0
106,235.0,601.0,78.86464160359395,-0.14214119124344637,164.29149754090523,578.0,717.0
107,236.0,720.0,72.56712924898864,-0.05295633207627704,110.6956883439081,582.0,721.0
108,244.0,730.0,81.77157978996048,-0.0008006131513532619,82.35602739044836,661.0,800.0
109,245.0,730.0,81.77157978996048,-0.05528574595847015,122.1301743396437,664.0,803.0
110,246.0,730.0,81.77157978996048,-0.15349677089270405,193.82422254163444,670.0,809.0
111,247.0,730.0,81.77157978996048,-0.19771599811238963,226.10425841200492,676.0,815.0
112,248.0,730.0,81.77157978996048,-0.06711232403557298,130.76357633592875,687.0,826.0
113,249.0,816.0,75.99758657890929,-0.06715857671208916,130.79898517597405,696.0,835.0
114,250.0,816.0,75.99758657890929,-0.06717525097749168,130.8125913765425,703.0,842.0
115,251.0,843.0,77.29492368527534,-0.03961697547492545,110.69203401063749,706.0,845.0
116,252.0,843.0,77.29492368527534,-0.03962738724902511,110.7008111362035,709.0,848.0
117,253.0,849.0,80.67028863833474,-0.00929142274075888,88.55870654523903,712.0,851.0
118,254.0,849.0,80.67028863833474,-0.009265218597565312,88.53645922766769,718.0,857.0
119,255.0,849.0,80.67028863833474,-0.009276340823558903,88.54590199753625,722.0,861.0
120,256.0,730.0,81.77157978996048,-0.009228462181512947,88.50835718246493,730.0,869.0
121,263.0,849.0,80.67028863833474,-0.1837372856046568,236.66324411668836,782.0,921.0
122,264.0,849.0,80.67028863833474,-0.3352080282594786,365.26190463063205,799.0,938.0
123,265.0,849.0,80.67028863833474,-0.29758339596771644,333.318591814926,804.0,943.0
124,266.0,849.0,80.67028863833474,-0.29756993021948036,333.3071593946736,814.0,953.0
125,267.0,849.0,80.67028863833474,-0.2975666137986182,333.3043437533616,816.0,955.0
126,268.0,849.0,80.67028863833474,-0.2975544547918804,333.2940207566412,822.0,961.0
127,269.0,849.0,80.67028863833474,-0.2975763527310881,333.31261210702854,827.0,966.0
128,270.0,849.0,80.67028863833474,-0.2744961322310783,313.7175049025202,830.0,969.0
129,271.0,849.0,80.67028863833474,-0.20004145450158525,250.50548351018062,838.0,977.0
130,272.0,849.0,80.67028863833474,-0.156222439574745,213.30313983729323,843.0,982.0
131,273.0,849.0,80.67028863833474,-0.15622377906302584,213.30427706284368,848.0,987.0
132,274.0,849.0,80.67028863833474,-0.15621471710535376,213.29658346078008,849.0,988.0
133,275.0,858.0,71.02059619492383,-0.0875070841509899,146.10167439647316,858.0,997.0
134,286.0,1014.0,77.18738704851904,-0.13872214658258275,217.85164368325795,954.0,1093.0
135,287.0,1014.0,77.18738704851904,-0.13873373596006408,217.863395312024,955.0,1094.0
136,288.0,1014.0,77.18738704851904,-0.10616328803504227,184.8369611160519,962.0,1101.0
137,289.0,1095.0,68.58560462454906,-0.10623771845803394,184.9159063360962,970.0,1109.0
138,290.0,1095.0,68.58560462454906,-0.1062389640239591,184.91727023078428,978.0,1117.0
139,291.0,1095.0,68.58560462454906,-0.10623197266980627,184.90961469798694,988.0,1127.0
140,303.0,1142.0,90.011062049153,-0.04098360105190678,136.81433445043052,1084.0,1223.0
141,304.0,1142.0,90.011062049153,-0.04100909757861514,136.8434514839315,1094.0,1233.0
142,305.0,1142.0,90.011062049153,-0.040969530599023994,136.7982659932384,1095.0,1234.0
143,306.0,1142.0,90.011062049153,-0.041000192472835775,136.83328185313144,1106.0,1245.0
144,307.0,1144.0,89.92903387775235,-0.2355033222179856,359.3448344951279,1120.0,1259.0
145,308.0,1144.0,89.92903387775235,-0.18912760453284994,306.29101346333266,1142.0,1281.0
146,309.0,1144.0,89.92903387775235,-0.18911448512420348,306.2760048598411,1143.0,1282.0
147,316.0,1260.0,67.98634725481125,-0.006796411133424194,76.54982528292574,1196.0,1335.0
148,327.0,1350.0,75.60310668657355,-0.013799528047392156,94.23246955055296,1283.0,1422.0
149,328.0,1350.0,75.60310668657355,-0.11235426653608907,227.28136651029382,1292.0,1431.0
150,329.0,1361.0,74.36705140643116,-0.210503362297707,360.8621274936104,1299.0,1438.0
151,330.0,1450.0,63.19069291956123,-0.12558414508749435,245.28770329642805,1315.0,1454.0
152,349.0,261.0,86.73602332936582,-0.03907263300207679,96.93398054290786,159.0,378.0
153,350.0,261.0,86.73602332936582,-0.07758919666726952,106.98680365952316,164.0,383.0
154,351.0,261.0,86.73602332936582,-0.12195220487972949,118.56554880297521,177.0,396.0
155,352.0,261.0,86.73602332936582,-0.12195897763150236,118.56731649118794,179.0,398.0
156,353.0,261.0,86.73602332936582,-0.12195710029752452,118.56682650701973,183.0,402.0
157,354.0,261.0,86.73602332936582,-0.12196826453210656,118.56974037224563,191.0,410.0
158,355.0,261.0,86.73602332936582,-0.12194437067833765,118.56350407641195,207.0,426.0
159,356.0,261.0,86.73602332936582,-0.06819706444986098,104.53545715077954,226.0,445.0
160,357.0,261.0,86.73602332936582,-0.06819259986376189,104.53429189380768,236.0,455.0
161,358.0,261.0,86.73602332936582,-0.0681828456570809,104.53174604586394,238.0,457.0
162,359.0,261.0,86.73602332936582,-0.043512762107214144,98.09285423934871,261.0,480.0
163,374.0,491.0,85.47810597021473,-9.653651028286272e-05,85.52550539676362,379.0,598.0
164,375.0,491.0,85.47810597021473,-0.007150539710324104,88.98902096798386,381.0,600.0
165,376.0,491.0,85.47810597021473,-0.06009098634676803,114.98278026647783,397.0,616.0
166,377.0,491.0,85.47810597021473,-0.0601171756070725,114.99563919328733,403.0,622.0
167,378.0,491.0,85.47810597021473,-0.0600985060964893,114.98647246359097,416.0,635.0
168,379.0,491.0,85.47810597021473,-0.06011447726646526,114.99431430804917,427.0,646.0
169,380.0,491.0,85.47810597021473,-0.060113771250414234,114.99396765416812,434.0,653.0
170,381.0,491.0,85.47810597021473,-0.06011173093959032,114.99296586155357,441.0,660.0
