,janela_rsi,ordem,lookback1,lookback2,lookback3,lookback4,distancia_maxima,num_pontos,break_min,pontos_para_tras,sl,pt,ind_indice,start_date,end_date,DD_Min,DDD_max,retorno_acum
0,14,5,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.3949798275518488,959,28.310229744740724
1,14,7,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.5124019339351664,959,-25.03765201108088
2,14,9,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.5960762443532271,959,-7.650105330485957
3,14,11,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.5960762443532261,959,-30.42328260625237
4,21,5,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.509388913907983,959,-26.076762014051823
5,21,7,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.191951208808529,376,27.69100553659888
6,21,9,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.2512046238416936,627,-1.9719967347269574
7,21,11,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.19769846148496162,806,14.276523030821778
8,35,5,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.22989108123090674,359,50.5884079246477
9,35,7,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.22543923954901435,624,19.74102718613618
10,35,9,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.21113117693045602,643,4.115414948600716
11,35,11,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.2771449858549382,1107,-9.122026535908148
12,42,5,50,100,200,300,2,3,4,6,-0.02,0.06,5,2018-01-01,2023-12-31,-0.316391077165199,959,-15.309006226699125
