;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;
80;2;42;4;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;15,16985843;0,761303266;-28,51540099;72;;42-2-50-4-3-in_sample_2_1x
81;2;42;4;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;7,797039204;0,422681711;-22,94732734;71;;42-2-50-4-4-in_sample_2_1x
82;2;42;4;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;10,47609955;0,56235295;-20,41613085;62;;42-2-100-4-3-in_sample_2_1x
83;2;42;4;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;7,535102411;0,41093095;-22,58503351;59;;42-2-100-4-4-in_sample_2_1x
84;2;49;2;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;28,60604404;1,040628592;-28,35316436;109;;49-2-50-2-3-in_sample_2_1x
85;2;49;2;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;32,01340359;1,258565952;-19,0323863;95;;49-2-50-2-4-in_sample_2_1x
86;2;49;2;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;36,92923071;1,334127268;-28,70240209;87;;49-2-100-2-3-in_sample_2_1x
87;2;49;2;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;30,43816151;1,331140693;-26,5652507;77;;49-2-100-2-4-in_sample_2_1x
88;2;49;3;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;18,13661042;0,855779151;-21,89071716;85;;49-2-50-3-3-in_sample_2_1x
89;2;49;3;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;23,90594185;1,205014408;-22,12957349;78;;49-2-50-3-4-in_sample_2_1x
90;2;49;3;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;25,34397226;1,147129359;-35,98244256;74;;49-2-100-3-3-in_sample_2_1x
91;2;49;3;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;19,98251261;1,042838077;-30,10668582;67;;49-2-100-3-4-in_sample_2_1x
92;2;49;4;50;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;9,989832174;0,573235638;-27,08626742;68;;49-2-50-4-3-in_sample_2_1x
93;2;49;4;50;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;18,17126044;1,07114823;-15,31749635;59;;49-2-50-4-4-in_sample_2_1x
94;2;49;4;100;3;2;6;0,02;0,05;AAPL;in_sample_2_1x;18,92121538;1,001908274;-27,52902975;62;;49-2-100-4-3-in_sample_2_1x
95;2;49;4;100;4;2;6;0,02;0,05;AAPL;in_sample_2_1x;13,85033068;0,828072177;-22,98365046;51;;49-2-100-4-4-in_sample_2_1x
96;2;28;2;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;12,0597715;0,694991622;-14,63188266;51;;28-2-50-2-3-in_sample_3_1x
97;2;28;2;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;14,67565058;0,846599471;-12,83361951;50;;28-2-50-2-4-in_sample_3_1x
98;2;28;2;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;26,74406612;1,400271876;-9,089666324;43;;28-2-100-2-3-in_sample_3_1x
